Region,Year,CO2_ppm,Deforestation_pct,SeaLevel_cm,Temp_anomaly_C,Population_millions,GDP_per_capita_USD,Renewable_share_pct,Industrial_index_0_100,Emissions_tCO2_per_capita_est,Vulnerability_index_0_100
Nord,2030,401.1,29.54,9.13,1.546,10.998,7853.95,7.64,30.43,0.27,17.74
Nord,2031,397.81,29.28,9.11,1.478,11.266,7976.23,7.8,33.41,0.545,18.05
Nord,2032,398.2,29.54,9.38,1.564,11.093,8389.96,8.2,35.77,0.867,14.83
Nord,2033,400.84,27.41,9.24,1.618,11.296,8207.69,8.54,40.09,0.513,13.69
Nord,2034,400.44,30.62,10.06,1.55,11.306,8203.7,7.74,45.18,1.114,16.8
Nord,2035,400.47,29.46,10.2,1.717,11.272,8319.56,7.27,36.68,0.899,19.87
Nord,2036,402.22,30.97,10.36,1.666,11.42,8677.1,10.54,51.01,0.519,14.93
Nord,2037,403.06,29.87,10.41,1.629,11.412,8574.1,14.93,41.13,0.686,14.57
Nord,2038,404.9,30.7,10.31,1.784,11.502,8755.3,10.08,42.61,0.816,12.86
Nord,2039,404.57,30.83,10.67,1.777,11.39,8619.26,11.58,40.77,0.82,17.14
Nord,2040,407.56,30.94,10.92,1.815,11.39,8766.0,13.18,57.63,1.201,11.89
Nord,2041,405.27,29.8,11.43,1.886,11.744,8710.25,17.14,38.84,0.935,20.72
Nord,2042,404.44,30.6,11.16,1.853,11.541,8949.55,11.58,48.74,0.834,17.03
Nord,2043,405.35,31.05,11.6,1.847,11.792,9230.18,10.81,47.83,1.06,16.01
Nord,2044,405.27,30.25,11.63,1.953,11.85,9162.1,13.73,48.6,1.082,12.39
Nord,2045,410.53,32.24,11.09,2.001,11.77,9316.2,18.93,43.87,1.162,16.59
Nord,2046,409.56,33.86,11.62,1.961,11.835,9146.3,16.44,50.21,1.155,16.31
Nord,2047,408.95,33.62,11.76,2.164,12.057,9223.98,14.56,51.44,1.076,15.84
Nord,2048,410.24,32.3,11.68,1.983,11.994,9579.92,18.37,43.33,0.99,16.78
Nord,2049,408.8,32.72,12.19,2.031,12.138,9617.29,21.14,55.36,0.929,10.62
Nord,2050,411.5,33.28,12.53,2.311,12.217,9792.66,21.42,53.88,1.139,14.86
Sud,2030,398.07,8.44,7.81,0.789,28.797,22927.95,13.2,41.08,0.815,5.11
Sud,2031,402.6,8.18,7.12,0.882,28.958,23238.41,13.65,39.94,0.921,8.37
Sud,2032,398.18,7.42,7.89,0.87,29.807,23268.25,13.08,45.62,1.32,6.77
Sud,2033,398.3,7.47,8.74,0.898,29.568,23667.76,14.51,41.24,0.163,3.99
Sud,2034,400.8,6.9,9.04,0.892,29.457,23608.72,21.03,34.87,0.936,7.43
Sud,2035,400.31,8.81,8.61,0.963,29.75,23607.52,18.31,45.88,1.238,2.55
Sud,2036,405.58,6.6,8.62,1.053,29.956,23732.4,18.11,40.62,0.74,7.48
